Complaint ID,Complaint Text,Category
1,Incorrect deduction of annual credit card fee.,Notification Issue
2,Incorrect charges on my account statement.,Credit Card Issue
3,Incorrect charges on my account statement.,Credit Card Issue
4,Net banking account got locked without reason.,Account Issue
5,Online fund transfer failed but money was debited.,Notification Issue
6,Customer care provided incorrect information.,Cheque Issue
7,Credit card was blocked without prior notice.,Loan Issue
8,Interest rate on fixed deposit was not updated.,Credit Card Issue
9,Credit card was blocked without prior notice.,Credit Card Issue
10,HDFC Bank - Unable to update contact details online.,Cheque Issue
11,Delay in issuing new debit card.,Fraudulent Transaction
12,HDFC Bank - SMS alerts not received for transactions.,Account Issue
13,Incorrect deduction of annual credit card fee.,Account Issue
14,Interest rate on fixed deposit was not updated.,ATM Issue
15,Incorrect charges on my account statement.,Branch Service Issue
16,Unable to update contact details online.,Branch Service Issue
17,Online fund transfer failed but money was debited.,Cheque Issue
18,Net banking account got locked without reason.,Fraudulent Transaction
19,Credit limit was reduced without notification.,Customer Service Issue
20,Mobile banking app is frequently crashing.,ATM Issue
21,Branch staff was unhelpful and rude.,Net Banking Issue
22,HDFC Bank - SMS alerts not received for transactions.,Fraudulent Transaction
23,Delay in issuing new debit card.,Cheque Issue
24,Unauthorized transaction detected on my debit card.,Branch Service Issue
25,Interest rate on fixed deposit was not updated.,ATM Issue
26,Customer care provided incorrect information.,Branch Service Issue
27,Interest rate on fixed deposit was not updated.,Branch Service Issue
28,Branch staff was unhelpful and rude.,Fraudulent Transaction
29,Net banking account got locked without reason.,Customer Service Issue
30,HDFC Bank - Interest rate on fixed deposit was not updated.,Credit Card Issue
31,Interest rate on fixed deposit was not updated.,Net Banking Issue
32,Unauthorized transaction detected on my debit card.,ATM Issue
33,HDFC Bank - Unauthorized transaction detected on my debit card.,Net Banking Issue
34,Customer support is unreachable most of the time.,Customer Service Issue
35,Mobile banking app is frequently crashing.,Notification Issue
36,Branch staff was unhelpful and rude.,Notification Issue
37,Mobile banking app is frequently crashing.,Loan Issue
38,Unauthorized transaction detected on my debit card.,Net Banking Issue
39,Loan EMI was auto-debited twice.,Customer Service Issue
40,Credit limit was reduced without notification.,Loan Issue
41,Delayed processing of loan application.,Notification Issue
42,Credit card was blocked without prior notice.,Customer Service Issue
43,Delayed processing of loan application.,Customer Service Issue
44,Unable to update contact details online.,Branch Service Issue
45,Mobile banking app is frequently crashing.,Credit Card Issue
46,Incorrect charges on my account statement.,Notification Issue
47,Customer support is unreachable most of the time.,Branch Service Issue
48,Interest rate on fixed deposit was not updated.,Cheque Issue
49,HDFC Bank - Unable to update contact details online.,Cheque Issue
50,Branch staff was unhelpful and rude.,Cheque Issue
51,Delay in issuing new debit card.,Branch Service Issue
52,HDFC Bank - Cheque clearance took longer than expected.,Notification Issue
53,Cash deposit machine was not working properly.,Branch Service Issue
54,Branch staff was unhelpful and rude.,Account Issue
55,Net banking account got locked without reason.,Customer Service Issue
56,HDFC Bank - Credit limit was reduced without notification.,Credit Card Issue
57,HDFC Bank - Incorrect deduction of annual credit card fee.,Branch Service Issue
58,Loan EMI was auto-debited twice.,Customer Service Issue
59,HDFC Bank - Customer care provided incorrect information.,Branch Service Issue
60,Credit card was blocked without prior notice.,Customer Service Issue
61,SMS alerts not received for transactions.,Loan Issue
62,HDFC Bank - Unable to update contact details online.,ATM Issue
63,Customer care provided incorrect information.,Customer Service Issue
64,Unauthorized transaction detected on my debit card.,Net Banking Issue
65,Customer support is unreachable most of the time.,Loan Issue
66,Cash deposit machine was not working properly.,Account Issue
67,Loan EMI was auto-debited twice.,Loan Issue
68,Credit card was blocked without prior notice.,Customer Service Issue
69,Cash deposit machine was not working properly.,Customer Service Issue
70,Cheque clearance took longer than expected.,Account Issue
71,ATM did not dispense cash but the amount was deducted.,Credit Card Issue
72,Delay in issuing new debit card.,Loan Issue
73,HDFC Bank - Net banking account got locked without reason.,Customer Service Issue
74,HDFC Bank - Credit card was blocked without prior notice.,Notification Issue
75,HDFC Bank - Customer care provided incorrect information.,Branch Service Issue
76,HDFC Bank - Mobile banking app is frequently crashing.,Customer Service Issue
77,Delay in issuing new debit card.,Loan Issue
78,Delayed processing of loan application.,Loan Issue
79,Credit limit was reduced without notification.,Branch Service Issue
80,Net banking account got locked without reason.,Credit Card Issue
81,Incorrect deduction of annual credit card fee.,Fraudulent Transaction
82,HDFC Bank - Net banking account got locked without reason.,Notification Issue
83,HDFC Bank - Cash deposit machine was not working properly.,Notification Issue
84,Incorrect deduction of annual credit card fee.,Net Banking Issue
85,Loan EMI was auto-debited twice.,Net Banking Issue
86,Credit card was blocked without prior notice.,Branch Service Issue
87,Unauthorized transaction detected on my debit card.,Branch Service Issue
88,Loan EMI was auto-debited twice.,Cheque Issue
89,Credit card was blocked without prior notice.,Account Issue
90,HDFC Bank - Credit card was blocked without prior notice.,Account Issue
91,Net banking account got locked without reason.,Net Banking Issue
92,Delay in issuing new debit card.,Loan Issue
93,Interest rate on fixed deposit was not updated.,Account Issue
94,Credit card was blocked without prior notice.,Branch Service Issue
95,Net banking account got locked without reason.,ATM Issue
96,Mobile banking app is frequently crashing.,Fraudulent Transaction
97,HDFC Bank - Net banking account got locked without reason.,Notification Issue
98,HDFC Bank - Credit limit was reduced without notification.,Loan Issue
99,HDFC Bank - Credit limit was reduced without notification.,Branch Service Issue
100,Branch staff was unhelpful and rude.,ATM Issue
101,HDFC Bank - Incorrect deduction of annual credit card fee.,Net Banking Issue
