CustomerID,InvoiceNo,Quantity,UnitPrice,Country,InvoiceDate,StockCode,Description,CustomerAge,SpendingScore
1288,24953,6,35.17,Spain,01-01-2020 00:00,A,Electronics,67,4
,31237,13,52.2,United Kingdom,01-01-2020 01:00,D,Toys and Games,28,16
1042,24380,46,93.7,Netherlands,01-01-2020 02:00,B,Clothing,62,63
1849,38782,79,73.65,Spain,01-01-2020 03:00,E,Sports and Outdoors,55,42
1117,32953,90,57.92,France,,C,Home and Kitchen,45,33
1004,22588,33,16.7,Spain,01-01-2020 05:00,C,Home and Kitchen,40,13
1206,34815,79,15.36,Germany,01-01-2020 06:00,B,Clothing,35,46
1634,26356,62,50.47,Germany,01-01-2020 07:00,A,Electronics,37,13
1838,29121,63,73.01,Germany,01-01-2020 08:00,D,Toys and Games,50,33
1344,34695,56,75.23,Netherlands,01-01-2020 09:00,B,Clothing,19,
1141,39610,39,22.98,Spain,01-01-2020 10:00,D,Toys and Games,56,8
1371,21403,60,10.46,Spain,01-01-2020 11:00,A,Electronics,54,90
1231,28391,,38.75,France,01-01-2020 12:00,E,Sports and Outdoors,43,86
1163,22285,83,91.86,United Kingdom,01-01-2020 13:00,D,Toys and Games,68,46
1546,28862,92,54.76,Germany,01-01-2020 14:00,A,Electronics,19,1
1363,21728,24,32.35,United Kingdom,01-01-2020 15:00,,,20,59
1945,31430,50,32.7,United Kingdom,01-01-2020 16:00,E,Sports and Outdoors,37,60
1983,21249,,13.64,Germany,01-01-2020 17:00,E,Sports and Outdoors,27,49
1334,20878,76,47.59,Germany,01-01-2020 18:00,E,Sports and Outdoors,59,80
1010,31543,74,79.24,France,,C,Home and Kitchen,38,93
1407,38907,7,96.87,Netherlands,01-01-2020 20:00,A,Electronics,57,61
1074,36881,46,50.41,,01-01-2020 21:00,D,Toys and Games,26,23
,,62,17.14,United Kingdom,01-01-2020 22:00,B,Clothing,19,5
1946,27702,1,68.45,France,01-01-2020 23:00,E,Sports and Outdoors,45,85
1912,27578,79,75.8,Spain,02-01-2020 00:00,E,Sports and Outdoors,20,50
1380,30668,65,7.63,France,02-01-2020 01:00,E,Sports and Outdoors,33,36
1709,36922,45,85.09,Germany,02-01-2020 02:00,A,Electronics,21,20
1852,32232,84,83.02,Germany,02-01-2020 03:00,B,Clothing,40,43
1775,29092,55,47.52,Netherlands,02-01-2020 04:00,A,Electronics,47,8
1846,21466,66,56.26,France,02-01-2020 05:00,B,Clothing,55,90
1885,31207,67,71.48,Germany,02-01-2020 06:00,D,Toys and Games,,41
1735,27714,80,67.84,United Kingdom,02-01-2020 07:00,C,Home and Kitchen,23,25
1633,38117,54,2.15,United Kingdom,02-01-2020 08:00,B,Clothing,27,7
1585,20490,93,12.68,France,02-01-2020 09:00,A,Electronics,34,86
1027,38093,63,16.68,Netherlands,02-01-2020 10:00,A,Electronics,25,61
1462,38302,54,75.69,France,02-01-2020 11:00,A,Electronics,26,33
1395,30226,52,44.29,,02-01-2020 12:00,C,Home and Kitchen,51,69
1682,,54,54.78,United Kingdom,02-01-2020 13:00,B,Clothing,,38
1977,30903,67,77.38,Germany,02-01-2020 14:00,B,Clothing,69,12
1375,29678,37,34.43,Spain,02-01-2020 15:00,B,Clothing,60,44
1420,34885,12,75.01,,02-01-2020 16:00,B,Clothing,67,53
1363,,59,44.51,United Kingdom,02-01-2020 17:00,E,Sports and Outdoors,39,14
1894,36581,20,38.03,United Kingdom,02-01-2020 18:00,E,Sports and Outdoors,20,71
1215,30159,87,33.64,Germany,02-01-2020 19:00,A,Electronics,58,92
1830,33810,,96.51,Germany,02-01-2020 20:00,E,Sports and Outdoors,57,52
1100,29726,32,77.31,United Kingdom,02-01-2020 21:00,B,Clothing,46,52
1757,38097,71,2.51,Germany,02-01-2020 22:00,B,Clothing,56,46
1092,29540,86,95.76,Spain,02-01-2020 23:00,E,Sports and Outdoors,44,80
1574,28102,44,77.66,Spain,03-01-2020 00:00,,,56,41
1265,32754,66,15.34,France,03-01-2020 01:00,,,57,2
,23844,78,8.1,Spain,,C,Home and Kitchen,69,49
1079,20595,55,31.17,United Kingdom,03-01-2020 03:00,A,Electronics,54,95
1036,,16,62.61,United Kingdom,03-01-2020 04:00,A,Electronics,20,78
1010,37398,88,61.85,France,03-01-2020 05:00,A,Electronics,36,28
1626,20241,71,,Netherlands,03-01-2020 06:00,E,Sports and Outdoors,51,32
1089,38747,68,44.84,France,03-01-2020 07:00,A,Electronics,31,92
1743,35002,52,21.58,Netherlands,03-01-2020 08:00,B,Clothing,38,76
1018,37116,,5.53,Netherlands,03-01-2020 09:00,A,Electronics,19,77
1563,20134,46,51.94,Germany,03-01-2020 10:00,,,27,22
1373,22626,41,35.03,Spain,03-01-2020 11:00,E,Sports and Outdoors,69,42
1785,30316,5,54.52,Netherlands,03-01-2020 12:00,E,Sports and Outdoors,59,29
1093,27179,66,94.68,Germany,03-01-2020 13:00,A,Electronics,34,94
1031,21510,5,14.77,France,03-01-2020 14:00,B,Clothing,19,79
1662,33045,,0.7,France,03-01-2020 15:00,B,Clothing,44,68
1139,39180,3,8.15,Netherlands,03-01-2020 16:00,B,Clothing,18,33
1569,26907,,46.54,Germany,03-01-2020 17:00,B,Clothing,67,
1972,24512,26,70.84,United Kingdom,,C,Home and Kitchen,53,9
1020,24302,74,58.29,,03-01-2020 19:00,E,Sports and Outdoors,50,38
1148,,98,49.74,Netherlands,,B,Clothing,39,80
1220,30960,53,35.72,United Kingdom,03-01-2020 21:00,C,Home and Kitchen,66,26
1732,24406,76,31.34,Spain,03-01-2020 22:00,C,Home and Kitchen,52,43
1753,39748,84,37.94,United Kingdom,03-01-2020 23:00,E,Sports and Outdoors,51,53
1218,29591,29,61.36,Germany,04-01-2020 00:00,D,Toys and Games,35,27
1540,29742,14,17.19,Netherlands,04-01-2020 01:00,A,Electronics,53,
1974,23411,5,77.25,United Kingdom,04-01-2020 02:00,E,Sports and Outdoors,20,26
1558,36466,27,57.74,,04-01-2020 03:00,D,Toys and Games,61,78
1907,25696,68,27.28,United Kingdom,04-01-2020 04:00,A,Electronics,,57
1057,33763,29,50.36,Netherlands,,A,Electronics,28,1
1424,,3,96.3,Germany,04-01-2020 06:00,A,Electronics,27,11
1274,30475,97,2.54,,04-01-2020 07:00,C,Home and Kitchen,68,30
1139,38824,30,20.35,United Kingdom,04-01-2020 08:00,B,Clothing,59,88
1022,25760,,45.11,Germany,04-01-2020 09:00,A,Electronics,38,4
1900,38166,1,64.02,Spain,04-01-2020 10:00,B,Clothing,42,86
1377,34365,23,21.62,Germany,04-01-2020 11:00,A,Electronics,52,72
1921,33894,67,93.17,United Kingdom,04-01-2020 12:00,C,Home and Kitchen,23,80
1372,26426,32,64.44,Spain,04-01-2020 13:00,A,Electronics,63,33
1062,36088,88,87.8,Netherlands,04-01-2020 14:00,E,Sports and Outdoors,61,33
1563,32525,6,33.27,France,04-01-2020 15:00,D,Toys and Games,25,74
1777,27906,77,82.98,Germany,04-01-2020 16:00,A,Electronics,51,66
1341,,49,38.13,Spain,04-01-2020 17:00,D,Toys and Games,58,4
1166,34282,15,25.65,France,04-01-2020 18:00,D,Toys and Games,63,87
1150,37744,58,91.21,Netherlands,04-01-2020 19:00,C,Home and Kitchen,18,51
,22078,53,9.68,France,04-01-2020 20:00,D,Toys and Games,20,27
1987,37361,30,,Netherlands,04-01-2020 21:00,C,Home and Kitchen,69,33
1606,27793,76,46.12,United Kingdom,04-01-2020 22:00,A,Electronics,55,97
1583,21637,40,99.27,United Kingdom,04-01-2020 23:00,B,Clothing,44,84
1500,33916,59,54.19,Netherlands,05-01-2020 00:00,C,Home and Kitchen,69,77
1895,30173,63,,France,05-01-2020 01:00,D,Toys and Games,30,75
1998,39684,48,1.2,Germany,05-01-2020 02:00,D,Toys and Games,60,83
1559,24004,99,49.92,,05-01-2020 03:00,A,Electronics,64,
1347,36966,92,73.88,France,05-01-2020 04:00,C,Home and Kitchen,67,67
1271,35701,68,78.39,Germany,05-01-2020 05:00,A,Electronics,,77
