StudentID,Gender,Age,StudyHours,GPA,Attendance,Participation,AssignmentsCompleted,ProjectsCompleted,Extracurriculars
1,Male,19,13.27,,70.22,8.72,3.0,2.0,Sports
2,Female,23,5.17,3.71,58.1,8.62,12.0,3.0,Clubs
3,Male,21,6.93,1.93,85.04,9.34,8.0,0.0,Arts
4,Male,22,6.22,1.26,96.34,8.94,8.0,0.0,Arts
5,Male,22,0.2,3.16,68.77,7.76,18.0,1.0,Arts
6,Female,19,4.44,2.73,62.08,7.18,2.0,4.0,None
7,Male,18,6.89,3.56,77.74,2.65,11.0,2.0,None
8,Male,21,6.17,2.77,89.81,6.21,10.0,3.0,None
9,Male,22,10.83,0.97,50.19,5.21,19.0,3.0,Sports
10,Female,19,5.77,3.73,81.57,8.62,10.0,3.0,None
11,Male,22,7.34,0.42,79.83,4.92,16.0,0.0,Arts
12,Male,24,6.44,1.07,65.91,1.28,13.0,2.0,None
13,Male,21,11.11,2.08,72.57,0.05,15.0,0.0,None
14,Male,21,12.94,2.26,62.35,6.78,9.0,1.0,Clubs
15,Female,24,7.98,0.06,89.49,5.5,3.0,,None
16,Male,20,11.84,3.12,81.73,3.31,9.0,2.0,Clubs
17,Female,24,4.45,1.45,76.64,1.69,19.0,3.0,None
18,Female,23,8.12,1.63,69.63,4.67,11.0,0.0,Clubs
19,Female,23,5.18,3.24,64.57,1.0,8.0,0.0,Arts
20,Male,19,6.21,1.52,91.14,3.36,14.0,0.0,None
21,Female,21,10.99,0.19,72.57,3.79,8.0,3.0,Arts
22,Male,20,13.22,0.71,75.07,4.66,6.0,2.0,None
23,Female,20,1.82,3.82,76.04,4.67,11.0,2.0,Sports
24,Female,22,9.52,0.28,72.42,2.57,19.0,1.0,Sports
25,Female,22,8.73,1.42,62.8,8.5,13.0,3.0,Arts
26,Female,24,1.78,2.01,56.02,3.56,15.0,1.0,Arts
27,Female,20,3.18,1.97,54.93,2.3,18.0,1.0,Sports
28,Female,24,4.67,0.02,87.87,1.76,2.0,1.0,Sports
29,Female,24,2.5,2.0,61.18,3.23,10.0,1.0,Clubs
30,Female,22,3.66,1.54,52.78,0.68,19.0,0.0,None
31,Male,21,4.01,3.89,89.88,0.33,18.0,1.0,Sports
32,Male,24,5.04,0.64,57.7,6.05,7.0,2.0,Arts
33,Female,18,11.24,1.42,81.26,6.19,,1.0,Arts
34,Female,21,8.58,1.68,66.93,5.3,7.0,0.0,Sports
