CustomerID,Age,Gender,AnnualIncome,PurchaseAmount,PurchaseFrequency,LastPurchaseDate,ProductCategory,LoyaltyProgramMember,CustomerRating
1,56,Male,70225,125.6355649,48,01-01-2023,Toys,0,1.210365885
2,69,Male,57952,156.4179326,,02-01-2023,Books,0,3.201969878
3,46,Other,57663,244.1516496,39,03-01-2023,Toys,0,2.229174573
4,32,Female,81381,36.27563295,29,04-01-2023,Books,1,3.134409606
5,60,Male,67929,307.515054,24,,Clothing,1,1.537187858
6,25,Male,29343,491.9488417,22,06-01-2023,Clothing,1,4.730519863
7,38,Female,96173,183.5991241,6,07-01-2023,Toys,1,4.578084974
8,56,Male,59791,377.6595002,48,08-01-2023,Home,1,1.759986037
9,36,Female,49134,252.5167882,24,09-01-2023,Electronics,1,2.373777133
10,40,Female,67101,68.26686296,40,10-01-2023,,0,3.453971087
11,28,Female,89443,293.2075372,23,11-01-2023,Home,1,1.382744829
12,28,Other,119111,153.4377629,38,12-01-2023,Electronics,0,2.418271284
13,41,Other,77530,22.02958818,10,13-01-2023,Clothing,0,2.004449147
14,53,Other,66799,319.2902164,16,14-01-2023,Clothing,1,4.662066915
15,57,Female,24827,430.1715129,11,15-01-2023,Electronics,1,4.410042545
16,41,Female,116143,175.6610346,32,16-01-2023,Books,0,3.319330965
17,20,Other,82653,198.1962959,45,17-01-2023,Home,0,3.081385347
18,39,Male,33699,446.0557331,6,18-01-2023,Toys,1,4.722903178
19,19,Female,111419,407.7363626,24,19-01-2023,Clothing,1,4.729711132
20,41,Male,25313,358.9016477,33,20-01-2023,Toys,0,4.877320501
21,61,Male,33598,128.1545466,12,21-01-2023,Electronics,1,1.501515536
22,47,Female,48807,455.5572442,27,22-01-2023,Toys,1,1.642231243
23,55,Female,,81.43579998,38,23-01-2023,Toys,,3.706946795
24,19,Male,89390,315.2514071,18,24-01-2023,Home,1,3.165737906
25,38,Male,65226,19.25658437,45,25-01-2023,Electronics,1,1.07386362
26,50,,79550,323.6413041,39,26-01-2023,Toys,0,1.247900144
27,29,Other,100072,142.1864542,13,27-01-2023,Clothing,1,4.552321529
28,39,Female,23558,227.5901037,40,28-01-2023,Electronics,1,4.475483182
29,61,Other,95308,175.9059533,30,29-01-2023,Clothing,0,2.429083688
30,42,Other,70113,90.51459434,49,30-01-2023,Books,0,4.564202468
31,66,Other,72999,312.8804911,41,31-01-2023,Toys,1,3.374700298
32,44,Other,75878,441.5778998,13,01-02-2023,Electronics,1,4.223622588
33,59,,56343,479.7466999,34,02-02-2023,Clothing,0,2.709724285
34,45,Female,78219,100.2114498,36,03-02-2023,Toys,1,1.453593309
35,33,Other,55186,360.0995232,30,04-02-2023,Home,1,2.734908251
36,32,Male,56966,333.8479865,25,05-02-2023,Clothing,1,2.829199192
37,64,Male,53769,174.9720058,2,06-02-2023,Clothing,0,3.203776775
38,68,Male,73218,14.45410368,36,07-02-2023,Books,1,1.422330852
39,61,Other,39229,346.4466674,18,08-02-2023,Home,1,4.965607452
40,69,Other,95209,473.019956,5,09-02-2023,Books,0,1.976547283
41,20,Female,47877,317.8994603,19,10-02-2023,Home,1,1.794209614
42,54,Other,,220.4698985,42,11-02-2023,Clothing,1,3.107211675
43,68,Other,117137,264.9511776,18,12-02-2023,Books,1,3.148832718
44,24,Male,58084,103.8162598,32,13-02-2023,Toys,1,2.759282951
45,38,Female,101780,376.5193611,21,14-02-2023,Home,0,4.087568585
46,26,Other,112892,374.4778159,10,15-02-2023,Clothing,0,3.066617603
47,56,Other,36806,77.03106369,37,16-02-2023,Electronics,1,3.438781821
48,35,Male,108635,439.5992993,49,17-02-2023,Home,1,3.894985542
49,21,Male,57034,138.248921,22,18-02-2023,Home,1,1.100100406
50,42,Other,60317,491.2167502,13,19-02-2023,Toys,1,3.28257673
51,31,Female,75468,194.5369919,17,20-02-2023,Home,0,4.536777885
52,67,Female,39094,93.05260907,9,21-02-2023,Home,0,1.069554972
53,26,Male,77796,179.1014551,24,22-02-2023,Toys,0,2.620728415
54,43,Male,30589,222.8892627,44,23-02-2023,Toys,1,4.704909801
55,19,Other,77221,39.30734765,14,24-02-2023,Books,1,2.412617609
56,37,Male,21657,291.2180987,46,25-02-2023,Clothing,1,2.834915297
57,45,Other,118300,300.8280577,,26-02-2023,Clothing,,4.926165572
58,64,Female,59531,370.7705754,37,27-02-2023,Books,0,1.797295436
59,24,Female,72227,19.43909668,19,28-02-2023,Clothing,0,1.261020757
60,61,Other,23164,272.9129161,28,01-03-2023,Home,0,4.437690363
61,25,Male,113078,31.18917947,46,02-03-2023,Books,0,4.473861365
62,64,Female,103973,352.0663889,41,03-03-2023,Books,1,2.888311339
63,52,Male,61247,32.58535292,30,04-03-2023,Clothing,1,3.056828698
64,31,Female,39601,456.3052849,7,05-03-2023,Electronics,1,4.343225478
65,34,Other,113966,352.5308706,26,06-03-2023,Clothing,0,3.954237992
66,53,Other,70599,256.1579337,40,07-03-2023,Electronics,1,
67,67,Other,91545,223.544442,46,08-03-2023,Books,1,1.06757342
68,57,Female,24552,69.68295205,46,09-03-2023,Electronics,0,2.91880065
69,21,Male,29417,149.0446978,11,10-03-2023,Home,0,4.435649304
70,19,Male,78579,435.134757,14,11-03-2023,Toys,0,4.583338707
71,23,Male,88207,452.7041417,21,12-03-2023,Electronics,1,4.824904788
72,59,Female,92055,5.370115643,8,13-03-2023,Toys,0,4.51825295
73,21,Female,98270,299.0975138,3,14-03-2023,Home,1,3.320174221
74,46,Female,23722,361.0538015,28,15-03-2023,Toys,1,2.778422397
75,35,Female,90442,311.2797563,29,16-03-2023,Home,0,4.099399386
76,43,Female,115632,45.43148361,23,17-03-2023,Toys,1,3.959286537
77,61,Male,60031,112.7738249,18,18-03-2023,Toys,0,3.15257372
78,51,Female,99235,128.9184324,35,19-03-2023,Clothing,0,1.34930949
79,27,Female,41438,416.7036925,13,20-03-2023,Electronics,1,4.704325387
